MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20080612,2.9411764705882355,2.9411764705882355,-0.358974358974359,-0.5897435897435898,0.03313208762361305,-0.3114754098360656,-0.36231884057971014,0.02857142857142857,0.18324607329842932,-0.59375,0.07,35.0
20080814,-8.450704225352112,-8.450704225352112,-0.3,-0.35,0.025172847522847527,-0.22033898305084745,-0.42857142857142855,0.058823529411764705,0.20855614973262032,-0.6595744680851063,0.11,55.0
20081009,-4.054054054054054,-6.756756756756757,-0.21518987341772153,-0.3670886075949367,0.02970117161878524,-0.125,-0.1724137931034483,0.09565217391304348,0.24761904761904763,-0.4925373134328358,0.08,55.0
20081211,-36.36363636363637,-36.36363636363637,-0.23684210526315788,-0.5789473684210527,0.009463118580765637,-0.2923076923076923,-0.4426229508196721,-0.08235294117647059,0.10309278350515463,-0.625,0.03,20.0
20090205,-36.666666666666664,-36.666666666666664,-0.35384615384615387,-0.5692307692307692,0.030931892534945972,-0.45098039215686275,-0.6153846153846154,-0.2,-0.006622516556291391,-0.8431372549019608,0.04,20.0
20090324,-27.659574468085108,-23.404255319148938,-0.4716981132075472,-0.660377358490566,0.030763950661210942,-0.5319148936170213,-0.5094339622641509,-0.2698412698412698,-0.11564625850340136,-0.75,-0.04,-4.0
20090430,-30.76923076923077,-34.61538461538461,-0.36363636363636365,-0.48484848484848486,0.019627207325049047,-0.3870967741935484,-0.35135135135135137,-0.24324324324324326,0.20903954802259886,-0.7096774193548387,0.02,9.0
20090528,-28.07017543859649,-28.07017543859649,-0.46875,-0.25,0.011921720012271191,-0.3333333333333333,-0.22727272727272727,-0.13924050632911392,0.18571428571428572,-0.5714285714285714,0.02,8.0
20090625,-25.925925925925927,-25.925925925925927,-0.23076923076923078,-0.5384615384615384,0.01962526083029681,-0.41818181818181815,-0.40350877192982454,-0.0379746835443038,0.10989010989010989,-0.7959183673469388,0.05,13.0
20090813,-24.56140350877193,-24.56140350877193,-0.2727272727272727,-0.5757575757575758,0.004958176421591056,-0.1836734693877551,-0.4782608695652174,-0.15254237288135594,0.16312056737588654,-0.4583333333333333,0.03,25.0
